No,名称,北緯,東経
4,弘前城,40.6075,140.4638888
29,松本城,36.2386111,137.9688888
36,丸岡城,36.1519444,136.2722222
43,犬山城,35.3883333,136.9391666
50,彦根城,35.2763888,136.2516666
59,姫路城,34.8394444,134.6938888
64,松江城,35.475,133.0505555
68,備中松山城,34.8088888,133.6219444
78,丸亀城,34.2861111,133.8005555
81,松山城,33.8455555,132.7655555
83,宇和島城,33.2191666,132.565
84,高知城,33.5608333,133.5311111
44,名古屋城,35.1858333,136.8994444
58,明石城,34.6525,134.9916666
71_1,福山城（伏見櫓）,34.4908333,133.3611111
77_1,高松城(北之丸月見櫓),34.3502777,134.0516666
92_1,熊本城（宇土櫓）,32.8061111,130.7058333
3,松前城,41.4297222,140.1083333
12,会津若松城,37.4875,139.9297222
13,白河小峰城,37.1325,140.2133333
31,新発田城,37.9552777,139.3252777
42,掛川城,34.775,138.0138888
74,岩国城,34.1752777,132.1741666
82,大洲城,33.5094444,132.5411111
23_1,小田原城（天守）,35.2513888,139.1536111
39,岐阜城,35.4338888,136.7822222
45,岡崎城,34.9561111,137.1588888
54,大阪城,34.6875,135.5258333
91,島原城,32.7891666,130.3672222
11,二本松城,37.5994444,140.4277777
14,水戸城,36.3752777,140.4769444
56,竹田城,35.3,134.8288888
57,篠山城,35.0730555,135.2175
61,高取城,34.4291666,135.8275
67,津山城,35.0627777,134.005
70,岡山城,34.665,133.9361111
71_2,福山城（天守）,34.4908333,133.3611111
27,上田城,36.4036111,138.2444444
41,駿府城,34.9791666,138.3830555
66,津和野城,34.46,131.7641666
72,郡山城,34.6736111,132.7094444
76,徳島城,34.0752777,134.555
77_2,高松城（旧東の丸艮櫓）,34.3502777,134.0516666
98,今帰仁城,26.6911111,127.9297222
92_2,熊本城（天守）,32.8061111,130.7058333
30,高遠城,35.8327777,138.0625
34,七尾城,37.0086111,136.9838888
23_2,小田原城(小峯御鐘ノ台大堀切東堀),35.2513888,139.1536111
33,高岡城,36.7491666,137.0208333
38,岩村城,35.3597222,137.4511111
40,山中城,35.1561111,138.9919444
48,松阪城,34.5758333,136.5255555
79,今治城,34.0633333,133.0069444
80,湯築城,33.8486111,132.7863888
87,名護屋城,33.5302777,129.8691666
88,吉野ヶ里,33.3247222,130.3833333
28,小諸城,36.3269444,138.4169444
37,一乗谷城,35.9958333,136.3080555
65,月山富田城,35.3608333,133.1847222
86_1,大野城(太宰府市),33.5397222,130.5230555
86_2,大野城(大野城市),33.5397222,130.5230555
86_3,大野城(宇美町),33.5397222,130.5230555
89,佐賀城,33.2452777,130.3027777
97,鹿児島城,31.5986111,130.5547222
99,中城城,26.2838888,127.8011111

